DEPCO,NOM_CO,Quartier,dist_V,dist_Bf,dist_OM,dist_Bio,dist_T,dist_P,dist_E,dist_C
13207,Marseille 7e Arrondissemen,SAINT VICTOR,61.74668275030157,58.519903498190594,98.66103739445114,75.9384800965018,179.74547647768395,10000.0,10000.0,207.56091676718938
13208,Marseille 8e Arrondissemen,BONNEVEINE,97.68701298701299,112.84025974025974,2054.1532467532465,180.55064935064934,448.33896103896103,10000.0,10000.0,451.1337662337662
13208,Marseille 8e Arrondissemen,LES GOUDES,419.02702702702703,418.69594594594594,6212.033783783784,1639.304054054054,2386.6216216216217,10000.0,10000.0,5131.006756756757
13208,Marseille 8e Arrondissemen,MONTREDON,132.11148648648648,187.6216216216216,3854.4847972972975,259.94172297297297,517.3589527027027,10000.0,10000.0,2682.9890202702704
13208,Marseille 8e Arrondissemen,PERIER,90.6307541625857,96.24485798237022,823.4221351616063,124.58080313418218,656.3398628795298,10000.0,10000.0,541.5954946131244
13208,Marseille 8e Arrondissemen,LA PLAGE,147.85016286644952,168.2540716612378,507.78175895765474,320.3843648208469,361.1335504885993,10000.0,10000.0,527.4885993485342
13208,Marseille 8e Arrondissemen,LA POINTE ROUGE,151.797583081571,162.797583081571,3022.87915407855,182.56646525679758,400.3821752265861,10000.0,10000.0,1535.07250755287
13208,Marseille 8e Arrondissemen,LE ROUET,77.48228882833787,84.39509536784742,1012.9713896457765,102.2465940054496,543.7874659400545,10000.0,10000.0,346.62534059945506
13208,Marseille 8e Arrondissemen,SAINT GINIEZ,83.46573208722741,89.64797507788163,1332.6713395638628,127.42056074766356,1018.8785046728972,10000.0,10000.0,332.54828660436135
13208,Marseille 8e Arrondissemen,SAINTE ANNE,124.89630297565374,150.93778178539225,2156.9386834986476,157.52660054102796,574.0676284941388,10000.0,10000.0,416.7718665464382
13208,Marseille 8e Arrondissemen,VIEILLE CHAPELLE,97.91347517730496,123.50638297872341,2612.5021276595744,161.8326241134752,426.16737588652484,10000.0,10000.0,854.6624113475177
13209,Marseille 9e Arrondissemen,LES BAUMETTES,178.2660028449502,188.47368421052633,4933.095305832148,445.8620199146515,772.9829302987198,10000.0,10000.0,1661.3086770981508
