Tranche d'âge,quartiers,population_count,arrondissements,secteur
80 ans ou plus,SAINT LOUP,1158,10EME ARRONDISSEMENT,5EME SECTEUR
0-2 ans,SAINT TRONC,504,10EME ARRONDISSEMENT,5EME SECTEUR
3-5 ans,SAINT TRONC,469,10EME ARRONDISSEMENT,5EME SECTEUR
6-10 ans,SAINT TRONC,869,10EME ARRONDISSEMENT,5EME SECTEUR
11-17 ans,SAINT TRONC,1350,10EME ARRONDISSEMENT,5EME SECTEUR
18-24 ans,SAINT TRONC,1275,10EME ARRONDISSEMENT,5EME SECTEUR
25-39 ans,SAINT TRONC,2632,10EME ARRONDISSEMENT,5EME SECTEUR
40-54 ans,SAINT TRONC,2586,10EME ARRONDISSEMENT,5EME SECTEUR
55-64 ans,SAINT TRONC,1725,10EME ARRONDISSEMENT,5EME SECTEUR
65-79 ans,SAINT TRONC,2081,10EME ARRONDISSEMENT,5EME SECTEUR
80 ans ou plus,SAINT TRONC,1170,10EME ARRONDISSEMENT,5EME SECTEUR
0-2 ans,LA TIMONE,211,10EME ARRONDISSEMENT,5EME SECTEUR
3-5 ans,LA TIMONE,170,10EME ARRONDISSEMENT,5EME SECTEUR
6-10 ans,LA TIMONE,262,10EME ARRONDISSEMENT,5EME SECTEUR
11-17 ans,LA TIMONE,414,10EME ARRONDISSEMENT,5EME SECTEUR
18-24 ans,LA TIMONE,1178,10EME ARRONDISSEMENT,5EME SECTEUR
25-39 ans,LA TIMONE,1176,10EME ARRONDISSEMENT,5EME SECTEUR
40-54 ans,LA TIMONE,1011,10EME ARRONDISSEMENT,5EME SECTEUR
55-64 ans,LA TIMONE,561,10EME ARRONDISSEMENT,5EME SECTEUR
65-79 ans,LA TIMONE,446,10EME ARRONDISSEMENT,5EME SECTEUR
80 ans ou plus,LA TIMONE,136,10EME ARRONDISSEMENT,5EME SECTEUR
0-2 ans,LES ACCATES,54,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LES ACCATES,79,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LES ACCATES,105,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LES ACCATES,245,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LES ACCATES,155,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LES ACCATES,308,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LES ACCATES,501,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LES ACCATES,240,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LES ACCATES,270,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LES ACCATES,193,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LA BARASSE,65,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LA BARASSE,60,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LA BARASSE,113,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LA BARASSE,136,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LA BARASSE,174,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LA BARASSE,323,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LA BARASSE,500,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LA BARASSE,442,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LA BARASSE,327,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LA BARASSE,104,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LES CAMOINS,108,11EME ARRONDISSEMENT,6EME SECTEUR
